EVTTITLE_EMP_10010;A High Quality Armament Produced;Un armement de haute qualité produit;Eine hochwertige Bewaffnung hergestellt;;Un armamento de alta calidad producido;;;;;;;;;x
EVTDESC_EMP_10016;My liege, I was trying to search for famous horses of [From.Location.GetName]. But these horses have so strong temper and kicked me...\n\nYour humble Marshal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nAlors que j'essayais de rechercher des chevaux célèbres de [From.Location.GetName]. Mais ces chevaux ont un caractère si fort et m'ont donné des coups de pied ...\n\nVotre humble maréchal,\n[From.GetTitledName];Mein Lehnsherr, ich habe versucht, nach berühmten Pferden von [From.Location.GetName] zu suchen. Aber diese Pferde haben so ein starkes Temperament und haben mich getreten ...\n\nEuer ergebener Marschall,\n[From.GetTitledName];;¡Mi señor, estaba intentando buscar caballos famosos de [From.Location.GetName]. Pero estos caballos tienen un temperamento tan fuerte y me patearon...\n\nSu humilde mariscal,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_EMP_10016;Oh dear...;Oh la la...;Gute Güte ...;;Madre mía...;;;;;;;;;x
EVTTITLE_EMP_10020;Invasion Plan Devised;Plan d'invasion conçu;Invasionsplan ausgearbeitet;;Plan de invasión ideado;;;;;;;;;x
EVTDESC_EMP_10020;I have an invasion plan of [Root.Location.Kingdom.GetName] successfully devised.;J'ai un plan d'invasion de [Root.Location.Kingdom.GetName] conçu avec succès.;Ich habe einen Invasionsplan von [Root.Location.Kingdom.GetName] erfolgreich ausgearbeitet.;;Tengo un plan de invasión de [Root.Location.Kingdom.GetName] diseñado con éxito.;;;;;;;;;x
EVTOPTA_EMP_10020;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;M[Root.Liege.GetOnA] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;; Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedará contento!;;;;;;;;;x
EVTDESC_EMP_10021;My liege, my work in [FromFrom.Location.GetName] seems to have come to fruition. By military simulation, in-depth scouting, feint movements and disrupting, I have managed to come up a plan for invasion [FromFrom.Location.Kingdom.GetName]. I leave it up to you whether to launch it or not.\n\nYour humble [Root.GetMyMarshalName],\n[FromFrom.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nMon travail à [FromFrom.Location.GetName] a porté ses fruits. Par simulation militaire, repérage approfondi, feintes de mouvements et perturbations, j'ai réussi à élaborer un plan d'invasion [From.Location.Kingdom.GetFullName]. Vous êtes libre de vous en lancer ou non.\n\nVotre humble [Root.GetMyMarshalName],\n[FromFrom.GetTitledName];Mein Lehnsherr, meine Arbeit in [FromFrom.Location.GetName] hat sich wohl erfüllt. Durch militärische Simulation, eingehende Aufklärung, Fintenbewegungen und Störung habe ich es geschafft, einen Invasionsplan [FromFrom.Location.Kingdom.GetFullName] zu erstellen. Ich überlasse es Euch, ob Sie es initiieren oder nicht.\n\nUntertänigst Euer [Root.GetMyMarshalName],\n[FromFrom.GetTitledName];;Mi señor, mi trabajo en [FromFrom.Location.GetName] parece haber dado fruto. A base de simulación militar, exploración en profundidad, movimientos finos e interrupciones, he logrado idear un plan para la invasión [FromFrom.Location.Kingdom.GetFullName]. Dejo en vuestras manos la decisión de ejecutarla o no.\nVuestro humilde [Root.GetMyMarshalName], [From.GetTitledName];;;;;;;;;x
EVTOPTA_EMP_10021_TOOLTIP;§GInvasions of [FromFrom.Location.Kingdom.GetName] are allowed§!;§GLes invasions de [FromFrom.Location.Kingdom.GetName] sont permises§!;§GInvasionen von [FromFrom.Location.Kingdom.GetName] ist erlaubt§!;;§GSe permiten invasiones de [FromFrom.Location.Kingdom.GetName]§!;;;;;;;;;x 
EVTTITLE_EMP_10023;Local Army Counter-attacked;L'armée locale a contre-attaqué;Gegenangriff der örtlichen Armee;;Contraataque del ejército local;;;;;;;;;x
EVTDESC_EMP_10023;During the reconnaissance, I lost my way and went too deep from the border. And ran into a local armed force.;Lors de la reconnaissance, je me suis égaré et je suis allé trop loin de la frontière. Et s'est heurté à une force armée locale.;Während der Erkundung verirrte ich mich und ging zu tief von der Grenze. Und rannte in eine örtliche Streitmacht.;;Durante el reconocimiento, perdí el rumbo y me alejé demasiado de la frontera. Y se topó con una fuerza armada local.;;;;;;;;;x
EVTOPTA_EMP_10023;Will I escape with my life?;Que va-t-il advenir de moi ?;Werde ich mit dem Leben davonkommen?;;¿Lograré salir de esta?;;;;;;;;;x
EVTOPTA_EMP_10023_TOOLTIP_A;[Root.GetTitledName] gets away;[Root.Get_Le_TitledName] s'enfuit;[Root.GetTitledName] kommt davon;;[Root.GetTitledName] huye.;;;;;;;;;x
EVTOPTA_EMP_10023_TOOLTIP_B;[Root.GetTitledName] gets wounded;[Root.Get_Le_TitledName] a une blessure;[Root.GetTitledName] wird verwundet;;[Root.GetTitledName] huye a pesar de las heridas.;;;;;;;;;x
EVTDESC_EMP_10024;[FromFrom.GetTitledName] managed to get away...;[FromFrom.Get_Le_TitledName] a réussi à s'enfuir...;[FromFrom.GetTitledName] kam davon ...;;[FromFrom.GetTitledName] se las arregló para escapar...;;;;;;;;;x
EVTOPTA_EMP_10024;My prestige however did not go unscathed by the incident...;Mais, mon prestige a souffert de cet incident...;Mein Prestige allerdings litt durch diesen Vorfall ...;;Sin embargo, mi prestigio no salió bien parado del incidente...;;;;;;;;;x
EVTDESC_EMP_10025;I did manage to survive the thugs attacking me, but the incident has left me severely wounded.;J'ai réussi à survivre à l'attaque de ces soldats, mais j'ai été gravement blessé[Root.Get_E] au cours de l'incident.;Ich schaffte es, den Angriff der Soldaten zu überleben, wurde aber schwer verwundet.;;Logré sobrevivir al ataque de esos soldados, pero el incidente me ha provocado graves heridas.;;;;;;;;;x
EVTOPTA_EMP_10025;AAAAH!!! By [Root.Religion.GetHighGodName], it hurts!;AAAH !!! Par [Root.Get_le_HighGod], ça fait mal !;AAAAH!!! Bei [Root.Religion.GetHighGodName], diese Schmerzen!;;¡¡¡AAAAH!!! ¡Por [Root.Religion.GetHighGodName], me duele!;;;;;;;;;x
EVTOPTA_EMP_10025_TOOLTIP;I must send a letter to inform my liege;Je dois envoyer une lettre à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige pour l'en informer.;Ich muss unverzüglich einen Brief an meinen Lehnsherrn senden;;Debo enviar una carta para informar a mi señor.;;;;;;;;;x
EVTDESC_EMP_10026;Your [Root.GetMyMarshalName], §Y[From.GetTitledFirstNameNoRegnal]§!, was attacked by forces while trying to scout around.;Votre [Root.GetMyMarshalName], [From.Get_only_le_Title]§Y[From.GetTitledFirstNameNoRegnal]§!, a été attaqué[From.Get_E] par des forces alors qu'[From.GetIlElle] essayait de d'éclaireur.;[From.GetEuerEure] [Root.GetMyMarshalName] §Y[From.GetTitledFirstNameNoRegnal]§! wurde bei dem Versuch, zu auskundschaften von Verteidigungskräfte angegriffen.;;Unos fuerzas atacaron a tu [Root.GetMyMarshalName] §Y[From.GetTitledFirstNameNoRegnal]§! mientras intentaba hacer un reconocimiento.;;;;;;;;;x
EVTOPTA_EMP_10026;This is bad news...;Cela ne me dit rien qui vaille...;Das sind schlechte Neuigkeiten ...;;Son malas noticias...;;;;;;;;;x
EVTDESC_EMP_10028;I received word that your marshal [FromFrom.GetTitledName] has been scouting in one of my counties. This is intolerable and as to stop further interference I captured [FromFrom.GetHerHim]!\n\nSigned \n[From.GetTitledName];J'ai appris que votre maréchal [FromFrom.Get_le_TitledName] a éclaireur dans un de mes comtés. Cela est intolérable et afin d'éviter d'autres interférences je l'ai capturé!\n\nSigné \n[From.GetTitledName];Mir wurde zugetragen dass Euer Marschall [FromFrom.GetTitledName] in einer meiner Grafschaften ausgekundschaftet hat. Das ist inakzeptabel und um weitere Vorfälle zu verhindern habe ich [FromFrom.GetTitledName] gefangen lassen!\n\nGezeichnet\n[From.GetTitledName];;He recibido noticias de que tu líder de mariscal [FromFrom.GetTitledName] ha estado reconocimiento en uno de mis condados. Es intolerable y para evitar más intromisiones ¡lo he capturado!\n\nFirmado:\n[From.GetTitledName];;;;;;;;;x
EVTOPTA_EMP_10028;How dare they!;Comment osent-ils !;Wie können sie es wagen!;;¡Qué osadía!;;;;;;;;;x
