chinese_imperial_government;Chinese Imperial;Impérialisme chinois;Chinesischer Imperialismus;;Imperial chino;;;;;;;;;x
manorial_government_desc;Manorial government practised a different course, unlike the ordinary Feudal government in Western Europe, that vassals held no obligation. With no strong government, the individual family communes still thought of themselves as independent entities.;Un gouvernement Seigneurial pratiquait un cours différent, contrairement au gouvernement féodal ordinaire en Europe occidentale, selon lequel les vassaux n'avaient aucune obligation. Sans gouvernement fort, les communes familiales individuelles se considéraient toujours comme des entités indépendantes.;Gutsherrliche Regierung verfolgte im Gegensatz zur gewöhnlichen Feudalregierung in Westeuropa einen anderen Kurs, bei dem Vasallen keinerlei Verpflichtungen hatten. Ohne starke Regierung betrachteten sich die einzelnen Familienkommunen immer noch als unabhängige Einheiten.;;El gobierno señorial practicó un curso diferente, a diferencia del gobierno feudal ordinario en Europa occidental, que los vasallos no tenían ninguna obligación. Sin un gobierno fuerte, las comunas familiares individuales todavía se consideraban entidades independientes.;;;;;;;;;x
mandala_government;Mandala;Mandala;Mandala;;Mandala;;;;;;;;;x
mandala_government_desc;Mandala government revolves around vassalized polity under a center of domination, with power at the capital, declining little by little the farther from the center. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have.;Le gouvernement de Mandala s'articule autour d'un régime vassalisé sous un centre de domination, avec le pouvoir dans la capitale, déclinant peu à peu en s'éloignant du centre. Plus le dirigeant central est centralisé, plus le cercle d'influence qu'il peut avoir est grand. La loi de centralisation contrôle la taille maximale de votre domaine et le nombre de vassaux directs que vous pouvez avoir.;Die Regierung von Mandala dreht sich um ein vasallisiertes Gemeinwesen unter einem Herrschaftszentrum, wobei die Macht in der Hauptstadt nach und nach abnimmt, je weiter vom Zentrum entfernt. In den Zentralisierungsgesetzen ist die maximale Größe der Domäne und die mögliche Anzahl der direkten Vasallen festgelegt.;;El gobierno de Mandala gira en torno a una política vasallada bajo un centro de dominación, con el poder en la capital, disminuyendo poco a poco a medida que se aleja del centro. La ley de centralización controla el tamaño máximo de tu domino y el número de vasallos directos que puedes tener.;;;;;;;;;x
nogovernment;Landless;Sans terres;Landlos;;Sin tierras;;;;;;;;x
nogovernment_desc;This character does not rule nor live under any government.;Ce personnage ne règne pas et ne vit pas sous un gouvernement.;Dieser Charakter herrscht nicht und lebt unter keiner Regierung.;;Este personaje ni gobierna ni vive bajo gobierno alguno.;;;;;;;;x
nomadic_government;Nomadic;Nomade;Nomadisch;;Nómada;;;;;;;;;x
nomadic_government_desc;Nomads are not very interested in owning Holdings, only in more grazing land for their sheep and horses. Gameplay centers around the Population of the tribe and the Manpower it provides. Empty Holdings slots in open terrain increases the maximum population. While Nomads can have normal vassals, they are mostly concerned with managing the other, few but powerful, major Clans of the tribe.;Les nomades ne s'intéressent guère à la possession de propriétés et préfèrent les pâturages pour leurs moutons et leurs chevaux. Le jeu est centré sur la population totale de la tribu et sur les effectifs dont elle dispose. Les emplacements de fief vides sur du terrain ouvert augmentent la population maximale. Bien que les nomades aient des vassaux normaux, ils s'occupent principalement de gérer les autres clans majeurs de la tribu, qui sont peu nombreux, mais très influents.;Nomaden haben kein Interesse am Besitz von Besitztümern. Stattdessen konzentrieren sie sich auf Weideland für ihre Schafe und Pferde. Wichtig für das Spiel sind hier die Gesamtbevölkerung des Stammes und wie viel Mannstärke verfügbar ist. Leere Bauplätze in den Besitztümern sorgen für eine Zunahme der maximalen Bevölkerung. Auch wenn Nomaden normale Vasallen haben können, beschäftigen sie sich zumeist mit der Kontrolle einzelner Stammesklans, die zwar nicht zahlreich, dafür aber um so mächtiger sind.;;Los nómadas no están muy interesados en poseer posesiones, sólo en más tierras de pastoreo para sus ovejas y caballos. El juego gira en torno a la población total de la tribu y la mano de obra que proporciona. Las ranuras vacías de explotaciones en terreno abierto aumentan la población máxima. Mientras que los nómadas pueden tener vasallos normales, en su mayoría están preocupados con la administración de los otros importantes clanes de la tribu, pocos pero poderosos.;;;;;;;;;x
nomadic_governments_FEATURES;§Y*§! Can reform to Tribal, Feudal, Iqta and Merchant Republic governments\n§Y*§! Can pillage settlements to gain wealth and technology\n§Y*§! Can abandon provinces to gain increased population and manpower growth;§Y*§! Peut se réformer en gouvernement tribale, en féodal, en iqtâ ou en république marchande\n§Y*§! Peut piller des colonies pour accroître sa richesse et sa technologie\n§Y*§! Peut abandonner des provinces pour gagner en population et en effectifs;§Y*§! Kann durch Reformierung die Regierungsformen Stamm, Feudal, Iqta und Kaufmannsrepublik annehmen\n§Y*§! Kann Siedlungen plündern und dabei Reichtum und technischen Fortschritt erwerben\n§Y*§!Kann Provinzen aufgeben, um ein erhöhtes Wachstum der Bevölkerung und Mannstärke zu erlangen.;;§Y*§! Puede reformarse a gobiernos tribales, feudales, iqta y de repúblicas mercantes.\n§Y*§! Puede saquear asentamientos para ganar riqueza y tecnología\n§Y*§! Puede abandonar provincias para obtener mayor crecimiento de población y soldadesca;;;;;;;;;x
order_government;Holy Order;Ordre sacré;Ritterorden;;Orden sagrada;;;;;x
order_government_desc;The most pious followers of their religion might join Holy Orders in an attempt to defend the faith from outside forces. Coming to the defense of any Lord or Lady who might be attacked by infidels, they are the stalwart protectors of the faithful. These orders have strict hierarchies, passing from one leader to the next within the order.;Les fidèles les plus pieux peuvent rejoindre les ordres sacrés de leur religion afin de tenter de défendre les seigneurs ou dames attaqués par les infidèles. Ces ordres ont des hiérarchies strictes et passent d'un chef à l'autre au sein de l'ordre.;Die frommsten Anhänger ihrer Religion können sich den Ritterorden anschließen, um den Glauben vor äußeren Einwirkungen zu schützen. Sie kommen zur Verteidigung eines jeden Fürsten oder Fürstin, die von Ungläubigen angegriffen werden und sind damit die unerschütterlichen Beschützer der Gläubigen. Diese Orden haben strenge Hierarchien und die Herrschaft wechselt nach Reihenfolge.;;Los seguidores más piadosos de una religión podrían unirse a las órdenes sagradas buscando de defender la fe contra fuerzas externas. En defensa de todo señor o señora que pueda ser atacado por infieles, son los defensores incondicionales de los fieles. Estas órdenes tienen jerarquías estrictas, que pasan de un líder a otro dentro de la orden.;;;;;x
republic_government;Republic;République;Republik;;República;;;;;;;;;x
republic_government_desc;The leaders of regular republics are randomly chosen from among the citizenry. This kind of republic is not playable, since there is no dynastic persistence between the generations of rulers.;Les chefs des républiques traditionnelles sont choisis au hasard au sein de la population. Ce type de république n'est pas jouable, puisqu'il ne présente aucune persistance de dynastie entre les générations de seigneurs.;Bei normalen Republiken wird ein lokaler Vertreter des Bürgertums zum Anführer gewählt. Diese Art von Republik ist nicht spielbar, da es dort keine dynastische Kontinuität gibt.;;Los líderes de las repúblicas normales son elegidos al azar entre los ciudadanos. No es posible jugar con este tipo de república, ya que no hay ninguna persistencia dinástica entre las generaciones de gobernantes.;;;;;;;;;x
roman_imperial_government;Imperial;Impérial;Kaiserlich;;Imperial;;;;;;x
roman_imperial_government_desc;An Imperial government differs from its feudal counterpart by placing a larger focus on urban areas and a centralized court whose influence deeply affects internal politics. Councilors and Commanders hold a varying degree of influence, depending on their prestige and competence, which they can use to support or oppose the official heir of the Empire...;Un gouvernement impérial diffère de son homologue féodal en se concentrant davantage sur les zones urbaines et sur une cour centralisée dont l'influence affecte profondément la politique interne. Les conseillers et les commandants exercent une influence variable, en fonction de leur prestige et de leur compétence, qu'ils peuvent utiliser pour soutenir ou s'opposer à l'héritier officiel de l'empire...;Eine kaiserliche Regierung unterscheidet sich von ihrem feudalen Gegenstück darin, dass sie einen größeren Fokus auf Städte und einen zentralisierten Hof legt, dessen Einfluss die Innenpolitik stark beeinflusst. Ratsmitglieder und Kommandanten haben je nach Prestige und Kompetenz einen unterschiedlichen Einfluss, den sie wiederum dafür nutzen können den offiziellen Erben des Kaiserreiches entweder zu unterstützen oder zu bekämpfen.;;Un gobierno imperial difiere de su homólogo feudal al centrarse más en las áreas urbanas y tener una corte centralizada cuya influencia afecta profundamente a la política interna. Consejeros y comandantes tienen un grado variable de influencia, dependiendo de su prestigio y competencia, que pueden usar para apoyar u oponerse al heredero oficial del Imperio…;;;;;;x
thema_government;Theme;Thème;Thema;;Thema;;;;;x
thema_government_desc;The Theme system is the administrative divisions of the Roman Empire. It replaced the earlier provincial system established by Diocletian and Constantine the Great. These military have strict hierarchies, passing from one leader to the next within the division.;Le système thématique est celui des divisions administratives de l'Empire romain. Il a remplacé le système provincial antérieur établi par Dioclétien et Constantin le Grand. Ces militaires ont des hiérarchies strictes, passant d'un chef à l'autre au sein de la division.;Das Themensystem ist die Verwaltungsgliederung des Römischen Reiches. Es ersetzte das frühere Provinzsystem von Diokletian und Konstantin dem Großen. Diese Militärs haben strenge Hierarchien und gehen innerhalb der Division von einem Anführer zum nächsten.;;El sistema temático son las divisiones administrativas del Imperio Romano. Reemplazó el sistema provincial anterior establecido por Diocleciano y Constantino el Grande. Estos militares tienen jerarquías estrictas, pasando de un líder a otro dentro de la división.;;;;;x
pronoia_government;Pronoia;Pronoia;Pronoia;;Pronoia;;;;;x
pronoia_government_desc;A pronoia was a grant that temporarily transferred imperial fiscal rights to an individual. The pronoetes was the holder of a pronoia, which were revokable at will by the Emperor. They were not subject to inheritance to the next generation.;Une pronoia était une subvention qui transférait temporairement les droits fiscaux impériaux à un individu. Le pronoetes était titulaire d'une pronoia, révocable à volonté par l'empereur. Ils n'étaient pas soumis à l'héritage à la génération suivante. ;Eine Pronoia war ein Zuschuss, der einer Person vorübergehend kaiserliche Steuerrechte überträgt. Der pronoetes war der Inhaber einer Pronoia, die vom Kaiser nach Belieben widerrufen werden konnte. Sie wurden nicht an die nächste Generation vererbt. ;;Una pronoia era una concesión que transfirió temporalmente los derechos fiscales imperiales a un individuo. El pronoetes era titular de una pronoia, que el Emperador revocaba a voluntad. No estaban sujetos a herencia a la siguiente generación. 
patrimonial_government;Patrimonial;Patrimonial;Patrimonial;;Patrimonial;;;;;x
patrimonial_government_desc;Patrimonial government is a pattern projection of patriarchy onto a broader set of vassals. By a top-down structure, Patrimonial lords rules on the basis of his own legitimate authority.;Le gouvernement patrimonial est une projection type du patriarcat sur un ensemble plus large de vassaux. Par une structure descendante, les seigneurs patrimoniaux gouvernent sur la base de leur propre autorité légitime.;Patrimonialregierung ist eine Musterprojektion des Patriarchats auf eine breitere Gruppe von Vasallen. Durch eine Top-Down-Struktur regieren Patrimonialherren auf der Grundlage ihrer eigenen legitimen Autorität.;;El gobierno patrimonial es una proyección patrón del patriarcado sobre un conjunto más amplio de vasallos. Por una estructura de arriba hacia abajo, los señores patrimoniales gobiernan sobre la base de su propia autoridad legítima.;;;;;x
theocracy_government;Theocracy;Théocratie;Theokratie;;Teocracia;;;;;;;;;x
theocracy_government_desc;Theocracies, like minor republics, are unplayable. Rulers are appointed or elected from among the ecclesiarchy, and there is no dynastic persistence between generations of rulers.;Les théocraties, à l'instar des républiques mineures, ne sont pas jouables. Les seigneurs sont nommés ou élus parmi l'ecclésiarchie et il n'y a aucune persistance dynastique entre les générations.;Theokratien sind so wie die kleineren Republiken nicht spielbar. Zum Herrscher werden Geistliche bestimmt und es gibt keine dynastische Kontinuität innerhalb der Folge der Herrscher.;;Las teocracias, como las repúblicas menores, tampoco son jugables. Los gobernantes son designados o elegidos entre la jerarquía eclesial y no hay ninguna persistencia dinástica entre las generaciones de gobernantes;;;;;;;;;x
band_government;Warband;Bande de guerre;Kriegerschar;;Banda de guerra;;;;;;;;;x
band_government_desc;Warband is a government led by a committee of military leaders. This kind of stratocracy is not playable, since there is no dynastic persistence between the generations of rulers.;Bande de guerre est un gouvernement dirigé par un comité de chefs militaires. Ce type de stratocratie n'est pas jouable, puisqu'il ne présente aucune persistance de dynastie entre les générations de seigneurs.;Kriegerschar ist eine Regierung, die von einem Komitee militärischer Führer geführt wird. Diese Art von Stratokratie ist nicht spielbar, da es dort keine dynastische Kontinuität gibt.;;Banda de guerra es un gobierno dirigido por un comité de líderes militares. No es posible jugar con este tipo de estratocracia, ya que no hay ninguna persistencia dinástica entre las generaciones de gobernantes.;;;;;;;;;x
tribal_government;Tribal;Organisation tribale;Stammesregierung;;Tribal;;;;;;;;;x
tribal_government_desc;Tribes are settled, but agrarian. Each County can only have one Tribal 'Holding', representing the entire local tribal population - the more empty Holding slots, the more powerful the Tribal Holding. Tribal rulers are most often seen using the 'Elective Gavelkind' Succession Law, which tends to fragment the realm between sons on the death of the chief.;Les tribus sont sédentaires mais agraires. Chaque comté ne peut disposer que d'une seule propriété tribale, qui représente la population locale entière de la tribu – plus vous avez d'emplacements de propriété vides, plus la propriété tribale gagne en puissance. Les seigneurs tribaux sont souvent la loi de succession par partage salique électif en vigueur, ce qui a tendance à fragmenter le territoire contrôlé entre les fils à la mort du chef.;Stämme sind sesshaft, aber landwirtschaftlich ausgerichtet. Jede Grafschaft kann nur ein "Stammesbesitztum" haben. Dort befindet sich die gesamte Stammesbevölkerung. Je mehr freie Bauplätze vorhanden sind, desto mächtiger ist der dortige Stamm. Stammesherrscher berufen sich bei Erbfolge oft auf die "Wahlweise Erbteilung", wodurch das Reich unter den Söhnen des Häuptlings aufgeteilt wird und zumeist zerfällt.;;Las tribus están asentadas y agrarias. Los condados solo tendrán una ‘posesión’ tribal, representando a toda la población tribal. Cuantas más casillas de posesiones vacías, más poderosa será la tribal. Los gobernantes tribales suelen usar la ley de sucesión ‘equitativa electiva’, que divide el reino entre hijos a la muerte del jefe.;;;;;;;;;x
tribal_government_FEATURES;§Y*§! Can reform to Feudal, Iqta and Merchant Republic governments;§Y*§! Peut se réformer en gouvernement féodal, en iqtâ ou en république marchande;§Y*§! Kann durch Reformierung die Regierungsformen Feudal, Iqta und Kaufmannsrepublik annehmen;;§Y*§! Puede reformarse a gobiernos feudales, iqta y de repúblicas mercantes.;;;;;;;;;x
nomadic_tribal_government;Nomadic;Nomade;Nomadisch;;Nómada;;;;;;;;;x
nomadic_tribal_government_desc;Nomads are not very interested in owning Holdings, only in more grazing land for their sheep and horses. Gameplay centers around the Population of the tribe and the Manpower it provides. Empty Holdings slots in open terrain increases the maximum regiment.;Les nomades ne s'intéressent guère à la possession de propriétés et préfèrent les pâturages pour leurs moutons et leurs chevaux. Le jeu est centré sur la population totale de la tribu et sur les effectifs dont elle dispose. Les emplacements de fief vides sur du terrain ouvert augmentent la régiment maximale.;Nomaden haben kein Interesse am Besitz von Besitztümern. Stattdessen konzentrieren sie sich auf Weideland für ihre Schafe und Pferde. Wichtig für das Spiel sind hier die Gesamtbevölkerung des Stammes und wie viel Mannstärke verfügbar ist. Leere Bauplätze in den Besitztümern sorgen für eine Zunahme der maximalen Regiment.;;Los nómadas no están muy interesados en poseer posesiones, sólo en más tierras de pastoreo para sus ovejas y caballos. El juego gira en torno a la población total de la tribu y la mano de obra que proporciona. Las ranuras vacías de explotaciones en terreno abierto aumentan la regimiento máxima.;;;;;;;;;x
nomadic_tribal_government_FEATURES;§Y*§! Can reform to Tribal government;§Y*§! Peut se réformer en gouvernement tribale;§Y*§! Kann durch Reformierung die Regierungsformen Stamm annehmen;;§Y*§! Puede reformarse a gobiernos tribales.;;;;;;;;;x

# FR
String_FR_GovernmentFem_tibetan_feudal_government_government;_;féodale monastique;;;;;;;;;;;;x
String_FR_GovernmentMasc_tibetan_feudal_government_government;_;féodal monastique;;;;;;;;;;;;x

# ES
String_ES_GovernmentMas_tibetan_feudal_government_government;feudal monástico;;;;;;;;;x
String_ES_GovernmentElLa_tibetan_feudal_government_government;la teocracia;;;;;;;;;x
String_ES_GovernmentElLaCap_tibetan_feudal_government_government;El feudalismo monástico;;;;;;;;;x
